"IdConglomerado","X_C3","Y_C3","NoIndividuo_C3","DiametroNormal_C3","AlturaTotal_C3","AreaBasal_C3","NombreComun_C3","Familia_APG_C3","Genero_APG_C3","Especie_APG_C3","Clave_ESP","N_Cientifico"
60214,-87.857222,18.894722,45,8.4,7.4,0.005542,"Chechen negro","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
60214,-87.857222,18.894722,52,28.7,11.4,0.064693,"Chechen negro","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
60214,-87.857222,18.894722,1,14.5,8.1,0.016513,"Zapote","Sapotaceae","Manilkara","zapota","Manzap","Manilkara zapota"
60214,-87.857222,18.894722,16,7.6,8.1,0.004536,"Chechen negro","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
60214,-87.857222,18.894722,24,8.9,7.4,0.006221,"Chaca rojo","Burseraceae","Bursera","simaruba","Bursim","Bursera simaruba"
60214,-87.857222,18.894722,45,17.3,8.4,0.023506,"Chechen negro","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
60214,-87.857222,18.894722,5,13.2,9.5,0.013685,"Chechen negro","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
61225,-88.253694,18.750333,20,9.4,9.5,0.00694,"perezcutz","Euphorbiaceae","Croton","reflexifolius","Croref","Croton reflexifolius"
61225,-88.253694,18.750333,2,8.6,8.7,0.005809,"zapote","Sapotaceae","Manilkara","zapota","Manzap","Manilkara zapota"
61225,-88.253694,18.750333,34,10.9,10.4,0.009331,"kanazin","Fabaceae","Lonchocarpus","robustus","Lonrob","Lonchocarpus robustus"
61225,-88.253694,18.750333,37,8.5,8.2,0.005675,"perezcutz","Euphorbiaceae","Croton","reflexifolius","Croref","Croton reflexifolius"
61225,-88.253694,18.750333,39,16.6,9.6,0.021642,"bojon","Cordiaceae","Cordia","alliodora","Corall","Cordia alliodora"
61225,-88.253694,18.750333,40,13.9,10.5,0.015175,"kaniste","Sapotaceae","Pouteria","campechiana","Poucam","Pouteria campechiana"
